WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((4.21617062636658 51.6921387800092,4.21623667761487 51.6921853937125,4.2162226658399 51.6921930653158,4.21622469714372 51.6921944969451,4.21614633405958 51.6922373924021,4.21607799589756 51.6921891646741,4.21617062636658 51.6921387800092))","0580100000243665",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243665,"1968",Pand in gebruik,woonfunctie,"114","114","1",pand.9a132814-3c65-45a8-93e5-1c328cac8b55
"POLYGON ((4.21610710097689 51.6909352869822,4.216143963725 51.6910070036435,4.21605517774737 51.6910246247759,4.21601832958604 51.6909529082317,4.21610710097689 51.6909352869822))","0580100000243666",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243666,"1958",Pand in gebruik,woonfunctie,"43","43","1",pand.8c40f1b7-0a0e-4002-8604-9a048392ac20
"POLYGON ((4.20525393695829 51.6911951237045,4.20535203851348 51.6911665748529,4.20536172586847 51.6911794374352,4.20544031190431 51.6911565705804,4.20546084669779 51.6911838446075,4.20550053317546 51.6911722982625,4.20558214948254 51.6912803822258,4.20552680706303 51.6912965889035,4.20548117586578 51.6912367091269,4.2054197227484 51.69125539807,4.20541036939146 51.6912435906127,4.20531200554704 51.6912722087814,4.20529532862772 51.6912500706015,4.20529113127998 51.6912512867458,4.2052853019869 51.6912435510441,4.20528949933406 51.6912423349,4.20525393695829 51.6911951237045))","0580100000244555",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244555,"2004",Verbouwing pand,woonfunctie,"333","333","1",pand.703672c8-7ba3-4b0c-b55c-b417f4c2d0b8
"POLYGON ((4.20462882166689 51.6912910396602,4.20454856878037 51.6913068235422,4.20457033297894 51.6913495717617,4.20445482386547 51.691372289887,4.20443235825582 51.6913281591967,4.20448961120394 51.6913168984711,4.20446487552697 51.6912683131304,4.20460338434052 51.6912410718997,4.20462882166689 51.6912910396602))","0580100000244557",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244557,"1955",Pand in gebruik,woonfunctie,"139","139","1",pand.aeea88e3-5387-4565-8f1d-b6f5457ef72d
"POLYGON ((4.20500579220889 51.6913214718993,4.20496826327312 51.6913318083222,4.20497832325783 51.691345906234,4.20492759487297 51.6913598849111,4.20491736772251 51.691345542596,4.20488336437769 51.6913549077802,4.20483342840046 51.691284889289,4.20495567443985 51.6912512089146,4.20500579220889 51.6913214718993))","0580100000244558",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244558,"1915",Pand in gebruik,woonfunctie,"139","139","1",pand.eea69642-3b2f-4a9f-a8c0-febaf9b219b5
"POLYGON ((4.20489515261181 51.69156132252,4.20471681648627 51.6916187256414,4.20460128688766 51.6914800945318,4.20477962261042 51.6914226915843,4.20489515261181 51.69156132252))","0580100000244559",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244559,"1955",Pand in gebruik,,,,"0",pand.a66b7d94-8965-47e1-bf0f-50ccc41f9d66
"POLYGON ((4.21339706885947 51.6919922390106,4.21349655546539 51.6919614589077,4.2135371473553 51.6920114057359,4.21339455651573 51.6920561727017,4.21337679758998 51.6920343215064,4.21342019606335 51.692020697206,4.21339706885947 51.6919922390106))","0580100000242241",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000242241,"1956",Pand in gebruik,woonfunctie,"92","92","1",pand.82dd25fe-85fc-439a-be86-99f49877ece2
"POLYGON ((4.20854071001296 51.6910981463688,4.20856948234629 51.6911568394689,4.20847904461531 51.691173332571,4.20845560617832 51.6911264241803,4.20841118933133 51.6911352540843,4.20837608852741 51.6910646583251,4.20841628985838 51.6910571883365,4.20843558102751 51.6910972860442,4.20848457349808 51.6910882594724,4.20849278084663 51.6911068870188,4.20854071001296 51.6910981463688))","0580100000241895",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241895,"1967",Pand in gebruik,woonfunctie,"104","104","1",pand.680f0f4c-0c3a-4f6d-ad6d-8b4cd0793012
"POLYGON ((4.20840250759382 51.6921505898853,4.20847638618945 51.6921351976622,4.20851968316433 51.6922154584667,4.2084458044519 51.6922308507166,4.20840250759382 51.6921505898853))","0580100000241897",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241897,"1981",Pand in gebruik,woonfunctie,"83","83","1",pand.14d1e092-5757-4914-b395-4dff1c763941
"POLYGON ((4.20837556381311 51.6918724052646,4.20850263292297 51.6918456465631,4.20852763218824 51.6918915099084,4.20840057742411 51.6919182687821,4.20837556381311 51.6918724052646))","0580100000241898",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241898,"1981",Pand in gebruik,woonfunctie,"83","83","1",pand.48f67360-6504-4bd0-abb4-c7e7038e5547
